"id","concern_summary","disposition","primary_evidence","manuscript_action","status"
"R01","Simulated and biological validation","Mechanism-based v2.2/v2.3 synthetic validation plus GPe/STN/GPi biological validation","test-results/clean_synthetic_validation; test-results/multi_region_three_regime_20260831; publication/REAL_DATA_ANNOTATION_FREEZE.md; publication/FINAL_ALGORITHM_FREEZE.md","Replace validation section and state sampling units","data, results, and final code regression frozen"
"R02","Computational burden and running time","Reproducible core/application timing with workload and environment metadata","evaluation/performance; test-results/performance_benchmark_20260831","Add runtime and environment table","evidence complete; prose pending"
"R03","Event versus State semantics and coexistence","Independent event/state tracks with retained child events and Burst-HFS coexistence","R/38_event_grammar_core.R; R/42_hfspiking_protection_and_manual_coexistence.R; R/66a_multitrack_auto_product.R; publication/FINAL_ALGORITHM_FREEZE.md","Add formal semantic definitions","implementation complete; final regression passed"
"R04","Adaptive Burst detection","Contrast seed followed by elastic train-aware support and anti-invasion safeguards","R/36_seed_bridge_classicity.R; R/37_dataset_isi_band_burst_kernel.R; R/38_event_grammar_core.R; publication/FINAL_ALGORITHM_FREEZE.md","Rewrite staged Burst algorithm","implementation complete; final regression passed"
"R05","Adaptive Pause detection","Strong-tail anchors plus contextual inter-Burst Pause after Burst ownership","R/91g_candidate_lineage_pause_raw_canonical.R; R/91h_candidate_lineage_pause_contextual.R; publication/FINAL_ALGORITHM_FREEZE.md","Define canonical and contextual Pause","implementation complete; final regression passed"
"R06","Broad HFS and descriptive subtypes","Broad HFS parent with HFT/HF-irregular descriptive subtyping and independent Burst overlay","R/41_hf_spiking_state_fix.R; R/42_hfspiking_protection_and_manual_coexistence.R; publication/FINAL_ALGORITHM_FREEZE.md","Use Broad HFS as confirmatory target","implementation complete; final regression passed"
"R07","Comparison with established Burst methods","Unified truth-referenced Mean-ISI, LogISI/newBD, and STPD comparison","evaluation/method_comparison/run_three_method_burst_accuracy.R; test-results/method_comparison/three_method_truth_accuracy_current","Add three-method table and distinguish agreement from accuracy","complete: 1,000 clustered bootstrap replicates; all six validation checks passed"
"R08","Evaluation beyond exact event recovery","ISI support, event IoU, matched IoU, fragmentation, merge, and boundary metrics","evaluation; test-results","Define estimands and thresholds","evidence complete; table selection pending"
"R09","Automation and compatibility","Zero-example, partial-known, full-parameter, preview/sensitivity, and provider import workflows","R/07_manual_param_estimation.R; R/53_parameter_delta_preview.R; R/54_parameter_sensitivity_validation.R; R/82_provider_contract.R","Describe tiered auditable workbench","implementation complete; prose pending"
"R10","Reproducibility and public availability","Allow-list public builder, scanner, hashes, R figures, region-only real-workbook filenames, content-addressed algorithm freeze, and non-destructive public push","tools/build_public_github_release.R; publication/RELEASE_CHECKLIST.md; publication/FINAL_ALGORITHM_FREEZE.md; https://github.com/zhouhouchun/SpikeTrainPatternDetector-STPD","Insert repository URL and final release/tag identifier","public code, synthetic data, real manual-reference workbooks, aggregate results, and reproducibility evidence available"
"R11","Manual truth and independence limitations","Blank-label, eligibility, sampling-unit, and subtype-truth limitations retained","publication/DATA_README.md; publication/REAL_DATA_ANNOTATION_FREEZE.md; method-comparison eligibility tables","Add limitations paragraph","annotation/eligibility freeze complete; provenance and limitations prose pending"
